,DraftKings,FanDuel,BetOnline.ag,BetRivers,BetMGM,Bovada
Chris Manhertz,3000.0,850.0,2900.0,1300.0,2800.0,3000.0
James Conner,-160.0,N/A,-167.0,-205.0,-160.0,-159.0
Kenneth Walker III,-115.0,N/A,-125.0,-130.0,-110.0,-115.0
Marvin Harrison Jr.,165.0,N/A,160.0,128.0,170.0,165.0
Trey McBride,205.0,N/A,200.0,148.0,200.0,205.0
DK Metcalf,175.0,N/A,170.0,130.0,185.0,175.0
Jaxon Smith-Njigba,175.0,N/A,170.0,135.0,185.0,175.0
Kyler Murray,250.0,N/A,250.0,190.0,260.0,250.0
Michael Wilson,310.0,N/A,300.0,245.0,310.0,310.0
Zach Charbonnet,310.0,N/A,300.0,210.0,310.0,310.0
Trey Benson,425.0,N/A,400.0,390.0,450.0,425.0
Tyler Lockett,330.0,N/A,325.0,295.0,310.0,330.0
Arizona Cardinals D/ST,450.0,N/A,N/A,N/A,550.0,450.0
Seattle Seahawks D/ST,450.0,N/A,N/A,N/A,550.0,450.0
Noah Fant,550.0,N/A,550.0,370.0,550.0,550.0
AJ Barner,550.0,N/A,550.0,800.0,600.0,550.0
Greg Dortch,750.0,N/A,750.0,750.0,750.0,750.0
Zay Jones,750.0,N/A,750.0,1200.0,750.0,750.0
Elijah Higgins,850.0,N/A,800.0,850.0,750.0,850.0
Emari Demercado,800.0,N/A,800.0,1150.0,850.0,800.0
Jake Bobo,900.0,N/A,900.0,1150.0,1000.0,900.0
Tip Reiman,1400.0,N/A,1400.0,1700.0,1500.0,1400.0
Kenny McIntosh,1600.0,N/A,1400.0,2200.0,2200.0,1600.0
DeeJay Dallas,1500.0,N/A,1400.0,1300.0,1600.0,1500.0
Pharaoh Brown,1400.0,N/A,1400.0,2000.0,1500.0,1400.0
Zach Pascal,1900.0,N/A,1900.0,1100.0,2200.0,1900.0
Laviska Shenault Jr,2000.0,N/A,N/A,N/A,N/A,2000.0
Brady Russell,3500.0,N/A,3400.0,1600.0,3000.0,3500.0
Travis Vokolek,2500.0,N/A,2400.0,2200.0,3000.0,2500.0
Kyren Williams,-175.0,-140.0,-200.0,-265.0,-175.0,-176.0
James Cook,-145.0,-110.0,-167.0,-150.0,-125.0,-145.0
Josh Allen,-110.0,120.0,-111.0,-121.0,110.0,-110.0
Amari Cooper,165.0,210.0,160.0,185.0,165.0,165.0
Cooper Kupp,145.0,145.0,140.0,-104.0,155.0,145.0
Puka Nacua,145.0,135.0,140.0,102.0,155.0,145.0
Khalil Shakir,205.0,210.0,200.0,165.0,190.0,205.0
Keon Coleman,205.0,210.0,N/A,200.0,N/A,205.0
Dawson Knox,200.0,210.0,200.0,215.0,220.0,200.0
Dalton Kincaid,210.0,210.0,N/A,185.0,275.0,210.0
Ray Davis,300.0,470.0,300.0,375.0,350.0,300.0
Mack Hollins,255.0,280.0,250.0,270.0,250.0,255.0
Demarcus Robinson,320.0,340.0,300.0,260.0,350.0,320.0
Blake Corum,370.0,500.0,350.0,420.0,400.0,370.0
Curtis Samuel,400.0,360.0,400.0,400.0,333.0,400.0
Colby Parkinson,425.0,650.0,400.0,550.0,650.0,425.0
Ty Johnson,550.0,750.0,550.0,700.0,550.0,550.0
Los Angeles Rams D/ST,550.0,N/A,N/A,N/A,600.0,N/A
Buffalo Bills D/ST,450.0,N/A,N/A,N/A,550.0,450.0
Davis Allen,500.0,800.0,500.0,750.0,750.0,500.0
Jordan Whittington,700.0,1000.0,700.0,900.0,1000.0,700.0
Matthew Stafford,850.0,2800.0,800.0,1150.0,1400.0,850.0
Tutu Atwell,850.0,650.0,800.0,600.0,800.0,850.0
Quintin Morris,950.0,1600.0,900.0,1150.0,900.0,1000.0
Ronnie Rivers,1200.0,3400.0,1100.0,1700.0,1500.0,1200.0
Tyler Johnson,1000.0,1000.0,1000.0,950.0,1000.0,1000.0
Jalen Virgil,1200.0,2300.0,1100.0,1400.0,1100.0,1200.0
Xavier Smith,1500.0,2600.0,1400.0,1500.0,1800.0,1500.0
Reggie Gilliam,2000.0,4100.0,1900.0,2200.0,1800.0,2000.0
Cody Schrader,1700.0,N/A,1700.0,1900.0,2500.0,1700.0
Hunter Long,1300.0,800.0,1300.0,2500.0,1500.0,1300.0
Isaac Guerendo,-140.0,-145.0,-143.0,N/A,N/A,-141.0
D'Andre Swift,100.0,110.0,100.0,N/A,N/A,100.0
Deebo Samuel,175.0,160.0,170.0,N/A,N/A,175.0
George Kittle,175.0,170.0,170.0,N/A,N/A,175.0
Roschon Johnson,240.0,N/A,240.0,N/A,N/A,240.0
Travis Homer,250.0,N/A,250.0,N/A,N/A,250.0
Jauan Jennings,230.0,210.0,230.0,N/A,N/A,230.0
Keenan Allen,200.0,150.0,200.0,N/A,N/A,200.0
DJ Moore,205.0,150.0,200.0,N/A,N/A,205.0
Patrick Taylor,390.0,360.0,N/A,N/A,N/A,390.0
Rome Odunze,250.0,230.0,250.0,N/A,N/A,250.0
Israel Abanikanda,400.0,360.0,N/A,N/A,N/A,N/A
Caleb Williams,280.0,340.0,280.0,N/A,N/A,280.0
Cole Kmet,280.0,250.0,280.0,N/A,N/A,280.0
Brock Purdy,390.0,550.0,350.0,N/A,N/A,390.0
Ricky Pearsall,390.0,480.0,350.0,N/A,N/A,390.0
San Francisco 49ers D/ST,425.0,N/A,N/A,N/A,N/A,425.0
Chicago Bears D/ST,450.0,N/A,N/A,N/A,N/A,450.0
Kyle Juszczyk,750.0,600.0,750.0,N/A,N/A,750.0
DeAndre Carter,750.0,500.0,750.0,N/A,N/A,750.0
Chris Conley,1600.0,2100.0,1400.0,N/A,N/A,1600.0
Eric Saubert,1500.0,1600.0,1400.0,N/A,N/A,1500.0
Gerald Everett,1500.0,1100.0,1400.0,N/A,N/A,1500.0
Collin Johnson,1400.0,1100.0,1400.0,N/A,N/A,1400.0
